train_loss,test_clean_acc,test_clean_loss,test_asr,test_asr_loss,epoch
2.2813749333688698,0.1135,2.2977186828661877,1.0,1.7295241439418427,0
2.233978076275986,0.1165,2.2618982412253215,0.998,1.8472391503631689,1
2.124553233067364,0.5555,1.938108019008758,0.2591,2.1965707654406312,2
1.8076186190281849,0.8477,1.6406053790620938,0.1377,2.310833165600042,3
1.6945049879647522,0.8726,1.6070012400864035,0.1162,2.3402212106498186,4
1.6732629316447893,0.8812,1.5904598843519855,0.1252,2.3307917877367346,5
1.6620314217833823,0.8965,1.5737039405069533,0.1241,2.3310593586818427,6
1.6535246306136726,0.8974,1.5693514908954596,0.1316,2.32375192186635,7
1.6461136092000932,0.9027,1.5648152577649257,0.1257,2.3314276364198916,8
1.6398368786647122,0.9124,1.5571392842918446,0.1219,2.3347986792303193,9
1.6339573321311966,0.9158,1.5530947173476979,0.1399,2.3170441275189635,10
1.6284312429204424,0.9229,1.5444115582545093,0.1569,2.2991132037654802,11
1.6233923938482808,0.9277,1.539659295871759,0.1659,2.2907386129828775,12
1.6171005671974947,0.9301,1.5363995246826463,0.1855,2.2697229279074698,13
1.6051976706173374,0.9325,1.5380631616920422,0.4718,1.9865899412495316,14
1.557374348264259,0.9378,1.5319574061472705,0.9628,1.501361051182838,15
1.5300453039628865,0.8653,1.6023881913750035,0.9999,1.4616204690022074,16
1.5238168549690165,0.9458,1.5215397124077863,0.9983,1.4661479239251203,17
1.519202388934235,0.947,1.5204409284956137,0.9981,1.4652622528136916,18
1.5158074547741205,0.9499,1.518375508344857,0.996,1.4672783757470975,19
1.512667462769856,0.9499,1.519540019096083,0.9965,1.4675348085962283,20
1.5105788631479877,0.9528,1.5135517894842063,0.9995,1.4631170057187415,21
1.5083765221048775,0.9585,1.5089092831702748,0.9994,1.4629438272707023,22
1.506213092600613,0.9578,1.5080310660562697,0.9988,1.4644022185331698,23
1.5044849778035048,0.9571,1.5095662523986428,1.0,1.4613048407682188,24
1.5026350529717485,0.9619,1.5037000217255514,0.9998,1.462092558289789,25
1.501510522512993,0.9621,1.5043698815023823,0.9999,1.4616730813008205,26
1.5001084057252798,0.9629,1.5026324995004448,0.9994,1.4630645149073023,27
1.4988396813366205,0.9581,1.5076363800437587,1.0,1.4612221087619757,28
1.4974867570628998,0.9642,1.5007606152516262,0.9994,1.4624841562501945,29
1.49631563686867,0.9669,1.4985517863255398,0.9992,1.462418860690609,30
1.495250449760128,0.9665,1.4995264475512657,1.0,1.4617969306411258,31
1.4944533488389526,0.9653,1.49934922358033,0.999,1.4627636648287439,32
1.4934800398121002,0.9675,1.4968713324540739,0.9996,1.4619462353408716,33
1.4925541013542778,0.9663,1.4992446223641658,1.0,1.4612948408552036,34
1.491727068480144,0.9692,1.4967483790816776,0.9996,1.4622841314145714,35
1.490980591601146,0.9693,1.4963502139802192,0.9994,1.4621773927834383,36
1.4901962442947094,0.9706,1.4939165297587207,0.9999,1.46161645157322,37
1.4894049996252,0.9663,1.4965751345749874,0.9994,1.4625638958754812,38
1.488637700518057,0.9693,1.495192949938926,0.9998,1.4615702735390632,39
1.488057931603145,0.9666,1.4974509424464717,0.9996,1.4620588053563597,40
1.4875065329740804,0.9717,1.4924009567613055,0.9999,1.4614178124506763,41
1.4869504493436834,0.9694,1.49596458255865,0.9984,1.463952098682428,42
1.4864110234958023,0.9724,1.491999710441395,0.9997,1.4614995588922197,43
1.4855688945062633,0.9725,1.4912910431053987,0.9999,1.461434718150242,44
1.485179518839952,0.9739,1.4901644462233137,0.9996,1.461790749981145,45
1.4845722906116738,0.9714,1.49271939058972,0.9986,1.46334274407405,46
1.4841250031233342,0.9739,1.489901679336645,0.9999,1.461779232237749,47
1.4836157695062633,0.9752,1.4892845806802155,0.9996,1.4617027621360341,48
1.4833700672141525,0.9751,1.4894714044157866,0.9996,1.4617578649217156,49
1.482643892007596,0.9749,1.4886539620199022,0.9999,1.4615592144097491,50
1.4822303105010661,0.9619,1.5074112179932322,0.9982,1.463663907567407,51
1.4821196924140458,0.9741,1.4894466878502233,0.9996,1.461822078486157,52
1.481492552930104,0.9751,1.488483869346084,0.9999,1.4613382770757006,53
1.4810200184901385,0.9764,1.48718107126321,0.9995,1.461891620022476,54
1.4807252538229612,0.9758,1.4882020084721268,0.9989,1.4624482324928234,55
1.4806449581056769,0.9755,1.4880323858018134,0.9992,1.4620800792791282,56
1.4801542042160847,0.9771,1.4863932694599127,0.9997,1.461780824479024,57
1.479726437566631,0.9779,1.4858901181798072,0.9994,1.4620967966735743,58
1.4795762572461353,0.9774,1.4868604909082888,0.9988,1.4625250541480483,59
1.479142634345016,0.9766,1.4861344478692218,0.9996,1.4617436774976693,60
1.478988549856743,0.9762,1.4878805852999353,0.9996,1.461644748213944,61
