train_loss,test_clean_acc,test_clean_loss,test_asr,test_asr_loss,epoch
2.3017417341851822,0.1,2.302311497888747,1.0,2.285328136128225,0
2.2976442615089514,0.1,2.3006522351769125,1.0,2.1937928397184723,1
2.2655393010210196,0.1,2.319908904421861,1.0,1.7049585785835413,2
2.2572460125779252,0.1,2.313324808315107,1.0,1.7373795813056314,3
2.2546185349564416,0.1,2.310478498981257,1.0,1.735015953422352,4
2.251452511838635,0.1,2.300613429136337,1.0,1.7842054860607075,5
2.2459168885370047,0.1278,2.2935267679250924,0.8946,1.7746558910722185,6
2.2392865349264706,0.1385,2.283677901432013,0.8291,1.805877690861939,7
2.2312401969109654,0.1784,2.2593631835500148,0.7094,1.8817453521072485,8
2.214721991887788,0.1932,2.243152796083195,0.7131,1.8618987867027332,9
2.1983865801330724,0.2249,2.224762066154723,0.7122,1.8433309975703052,10
2.1738026806765505,0.2598,2.1966127043317076,0.7673,1.78151489063433,11
2.1407737634371005,0.2735,2.1846289437287933,0.916,1.5903781690415304,12
2.1158308336496963,0.2986,2.1638042531955013,0.9099,1.5809158124741476,13
2.1010951361692776,0.2974,2.1614009331745705,0.9613,1.510922501041631,14
2.0907238426110935,0.3068,2.1520011470576,0.9723,1.497994987827957,15
2.083016866308344,0.3232,2.138260643952971,0.9645,1.5071159525282065,16
2.0756796912464033,0.3252,2.1325134441351437,0.965,1.5040372617685112,17
2.0692399359115248,0.3328,2.127424388934093,0.9501,1.520712033958192,18
2.063228675471547,0.3444,2.1189603889064426,0.9572,1.5120851682249907,19
2.0586721122722187,0.3465,2.1142954461893457,0.9561,1.5105965023587464,20
2.0540665336277173,0.3508,2.110700382548533,0.9472,1.5197274305258588,21
2.0502416118026696,0.3538,2.107558030991038,0.9491,1.516727417137972,22
2.047180019681106,0.3575,2.1047384002406124,0.9647,1.5003560204414805,23
2.044414393432305,0.3593,2.1009500854334253,0.956,1.5091374786036789,24
2.041146436920556,0.3593,2.101923749705029,0.9752,1.488934059051951,25
2.038799159057305,0.3439,2.115964506082474,0.9835,1.479362805937506,26
2.036618752247842,0.349,2.110698670338673,0.9797,1.4821476837632004,27
2.034960812619885,0.3672,2.092567889553726,0.9556,1.5095337211706077,28
2.032772288602941,0.37,2.09026469470589,0.9435,1.5217430029705072,29
2.0310131960817617,0.3712,2.0881980839808274,0.9577,1.5063299024181,30
2.0291891659007355,0.3713,2.088214742909571,0.9424,1.5212192269647198,31
2.0277873866088556,0.3746,2.084361367924198,0.9632,1.4998623345308244,32
2.026266659007353,0.3743,2.084486989458655,0.956,1.508027167836572,33
2.02447712695812,0.3768,2.0841209971980685,0.9321,1.5305468937393967,34
2.0232753119505276,0.3816,2.0775151237560685,0.9518,1.5119504283188254,35
2.0218577665441178,0.3633,2.0938370956736767,0.9781,1.484233266229083,36
2.019717789671915,0.3822,2.0772415247692426,0.9651,1.497865236488877,37
2.0182059597786126,0.3796,2.0799415643048134,0.9731,1.4893234406307245,38
2.017088907149137,0.3843,2.076102248422659,0.9567,1.5068613966559148,39
2.015460938748801,0.3825,2.074701678221393,0.9483,1.5152556729164852,40
2.013318308174153,0.3839,2.0745556134327203,0.9668,1.4957143470739862,41
2.0118631426330724,0.3899,2.0689809664039855,0.9656,1.496743622099518,42
2.0102712333659687,0.3935,2.0667928388923595,0.9459,1.5174516340729538,43
2.0083953779371804,0.3895,2.0701680904740742,0.9661,1.4964700193162177,44
2.006736345608216,0.3792,2.0771233860854132,0.9832,1.4788440511484815,45
2.005176749070892,0.3964,2.0608070792665907,0.9643,1.498121672375187,46
2.00352630224984,0.3993,2.0590454134971474,0.9544,1.509135281204418,47
2.0016223487951565,0.3996,2.0589842219261607,0.9541,1.5073102773374814,48
2.0000849184782608,0.3911,2.0684869236247554,0.9569,1.5054839226850278,49
1.9984792723984974,0.4026,2.0557792262666545,0.9573,1.5060260759037771,50
1.9965008591751918,0.4026,2.0588948893698915,0.9641,1.4975642178468644,51
1.995090182175112,0.4008,2.056595268522858,0.9498,1.5130642956229532,52
1.9935329271399456,0.4056,2.05440520708728,0.9607,1.5019498812924525,53
1.992041546365489,0.4078,2.050831778793578,0.9613,1.5013660610101784,54
1.9899399701286764,0.4114,2.049080542698028,0.934,1.5284284110281878,55
1.9890266281869404,0.4127,2.046704059953143,0.9654,1.4971946538633603,56
1.986974535695732,0.4052,2.0507078846548774,0.9788,1.4830628398117747,57
1.9855701027014065,0.4062,2.0491397904742295,0.9672,1.4953984918108412,58
1.9838461327125958,0.4161,2.0448075874595886,0.9581,1.5045410257995508,59
1.9819621600763266,0.4166,2.0433299230162505,0.9544,1.5077077431283938,60
1.9804364372702206,0.4199,2.0394822389456877,0.9578,1.5048998260194328,61
1.978314411914562,0.4163,2.041662945109568,0.9615,1.5011193387827295,62
1.9771614562519981,0.4216,2.0388170169417266,0.9658,1.4968101317715492,63
